,Company,Date_x,Next_Date,Sentiment_Score,Price
2289,MS,2016-12-31,2017-01-30,0.01561954,37.35916519165039
2290,MS,2017-12-31,2018-01-30,-0.013860368999999999,49.98321533203125
2291,MS,2018-12-31,2019-01-30,0.045964775,38.72991180419922
2292,MS,2019-12-31,2020-01-30,0.039845881,50.10139465332031
2293,MS,2020-12-31,2021-02-01,0.054744238,64.79718780517578
2294,MS,2021-12-31,2022-01-31,0.055025070999999995,100.71196746826172
2295,MSFT,2015-06-30,2015-07-30,0.10945009800000001,41.59203338623047
2296,MSFT,2016-06-30,2016-08-01,-0.014912423999999999,51.59309387207031
2297,MSFT,2017-06-30,2017-07-31,-0.07411942099999999,67.95050048828125
2298,MSFT,2018-06-30,2018-07-30,0.209435242,100.4089126586914
2299,MSFT,2019-06-30,2019-07-30,0.25249835,135.91374206542972
2300,MSFT,2020-06-30,2020-07-30,0.241029259,199.8847503662109
2301,MSFT,2021-06-30,2021-07-30,0.23495347100000002,282.0038146972656
2302,MSFT,2022-06-30,2022-08-01,0.191089798,277.421142578125
2303,MSI,2014-12-31,2015-01-30,0.063267336,54.37683868408203
2304,MSI,2015-12-31,2016-02-01,-0.023633941000000002,59.53550338745117
2305,MSI,2016-12-31,2017-01-30,0.155194655,74.44618225097656
2306,MSI,2017-12-31,2018-01-30,0.061482792,92.98494720458984
2307,MSI,2018-12-31,2019-01-30,0.08844983699999999,110.79690551757812
2308,MSI,2019-12-31,2020-01-30,0.129386752,173.38319396972656
2309,MSI,2020-12-31,2021-02-01,0.092245064,171.0133514404297
2310,MSI,2021-12-31,2022-01-31,0.154001873,230.21263122558597
2311,MTB,2014-12-31,2015-01-30,0.071610277,92.84827423095705
2312,MTB,2015-12-31,2016-02-01,0.02871124,90.81366729736328
2313,MTB,2016-12-31,2017-01-30,0.121238544,140.33062744140622
2314,MTB,2017-12-31,2018-01-30,0.097390861,166.8755645751953
2315,MTB,2018-12-31,2019-01-30,0.070853209,148.4898223876953
2316,MTB,2019-12-31,2020-01-30,0.09660881,156.4450225830078
2317,MTB,2020-12-31,2021-02-01,0.020966316999999998,126.48501586914062
2318,MTB,2021-12-31,2022-01-31,-0.044316984000000004,166.00149536132812
2319,MTD,2014-12-31,2015-01-30,0.28398628800000003,303.95001220703125
2320,MTD,2015-12-31,2016-02-01,0.156396319,317.32000732421875
2321,MTD,2016-12-31,2017-01-30,0.325202587,422.05999755859375
2322,MTD,2017-12-31,2018-01-30,0.25318686100000004,677.1400146484375
2323,MTD,2018-12-31,2019-01-30,0.341357212,632.9299926757812
2324,MTD,2019-12-31,2020-01-30,0.233604023,777.0
2325,MTD,2020-12-31,2021-02-01,0.293507717,1180.8199462890625
2326,MTD,2021-12-31,2022-01-31,0.383221999,1472.6800537109375
2327,MU,2015-09-03,2015-10-05,0.238946541,17.468666076660153
2328,MU,2016-09-01,2016-10-03,0.096031125,17.627742767333984
2329,MU,2017-08-31,2017-10-02,0.19393680100000002,39.77924346923828
2330,MU,2018-08-30,2018-10-01,0.28463300199999997,44.88960266113281
2331,MU,2019-08-29,2019-09-30,0.153107056,42.60286712646485
2332,MU,2020-09-03,2020-10-05,-0.124434024,47.32546997070313
2333,MU,2021-09-02,2021-10-04,0.019210359,70.31085205078125
2334,MUR,2014-12-31,2015-01-30,-0.051323609000000006,33.661422729492195
2335,MUR,2015-12-31,2016-02-01,-0.075972862,14.312938690185547
