Company
A
AAPL
ABC
ACN
ADI
ALXN
AMAT
AME
APD
AYI
AZO
BDX
BEN
CAH
CLX
COH
COO
COST
COTY
CPB
CSCO
DE
DHI
EL
EMR
FFIV
GOOGL
GPN
HOLX
HPE
HPQ
HRB
HRL
HRS
INTU
JCI
JEC
KHC
LRCX
LUK
MNK
MU
NWS
NWSA
PRGO
PWR
PYPL
QCOM
SBUX
SCHW
SWKS
SYY
TDG
TEL
TSN
V
WBA
WDC
XEC
XLNX
MAR
NOV
AAL
AAP
ABBV
ABT
ADBE
ADM
ADP
ADS
ADSK
AEE
AEP
AES
AFL
AIG
AIV
AIZ
AJG
AKAM
ALB
ALK
ALL
ALLE
AMG
AMGN
AMP
AMT
AMZN
AN
ANTM
AON
APA
APH
ARNC
ATVI
AVB
AVY
AWK
AXP
BA
BAC
BBBY
BBT
BBY
BFB
BHI
BIIB
BLK
BLL
BMY
BRKB
BSX
BWA
BXP
C
CAG
CB
CBG
CBS
CCI
CCL
CERN
CF
CFG
CHD
CHK
CHRW
CHTR
CINF
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COG
COP
CRM
CSX
CTAS
CTL
CTSH
CTXS
CVS
CVX
D
DAL
DD
DFS
DG
DGX
DHR
DISCK
DLPH
DLR
DLTR
DOV
DOW
DPS
DRI
DTE
DVA
DVN
EA
EBAY
ECL
ED
EFX
EIX
EMN
ENDP
EOG
EQIX
EQR
EQT
ES
ESS
ETN
EW
EXC
EXPD
EXPE
EXR
F
FAST
FB
FBHS
FDX
FE
FIS
FISV
FITB
FL
FLR
FLS
FMC
FRT
FSLR
FTR
GD
GILD
GIS
GLW
GM
GPC
GPS
GRMN
GS
GT
GWW
HAL
HAS
HBAN
HBI
HCA
HCN
HCP
HD
HES
HIG
HOG
HON
HSIC
HST
HSY
HUM
IBM
ICE
IDXX
IFF
INTC
IP
IPG
IR
IRM
ISRG
ITW
IVZ
JBHT
JNJ
JNPR
JPM
K
KEY
KIM
KLAC
KMB
KMI
KMX
KO
KORS
KR
KSS
KSU
L
LB
LEG
LEN
LH
LKQ
LLY
LMT
LNC
LNT
LOW
LUV
LVLT
LYB
MA
MAA
MAC
MAS
MAT
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
MHK
MKC
MLM
MMC
MMM
MNST
MO
MOS
MPC
MRK
MRO
MS
MSFT
MSI
MTB
MTD
MUR
NAVI
NEE
NEM
NFLX
NI
NKE
NOC
NRG
NSC
NTAP
NTRS
NUE
NVDA
NWL
O
OKE
OMC
ORLY
OXY
PAYX
PBCT
PBI
PCAR
PCG
PCLN
PDCO
PEG
PEP
PFE
PFG
PG
PGR
PHM
PKI
PLD
PM
PNC
PNR
PNW
PPG
PPL
PRU
PSA
PSX
PVH
PXD
QRVO
R
RCL
REGN
RHI
RIG
RL
ROP
ROST
RRC
RSG
SEE
SHW
SIG
SJM
SLB
SLG
SNA
SO
SPG
SPGI
SRCL
SRE
STT
STX
STZ
SWK
SWN
SYF
SYK
SYMC
T
TAP
TDC
TGNA
TGT
TJX
TMK
TMO
TRIP
TROW
TRV
TSCO
TXN
TXT
UA
UAA
UAL
UDR
UHS
ULTA
UNH
UNM
UPS
URBN
URI
USB
UTX
VFC
VMC
VNO
VRSK
VRSN
VRTX
VTR
VZ
WAT
WEC
WFC
WHR
WLTW
WM
WMB
WMT
WU
WY
WYN
WYNN
XEL
XOM
XRAY
XRX
XYL
YUM
ZBH
ZION
ZTS
Grand Total
