Company,Cik,Date,Sentiment_Score
AIV,922864,20171231,0.146349434
AIV,922864,20181231,0.10783068
AIV,922864,20191231,0.105041341
AIV,922864,20201231,0.126700403
AIV,922864,20211231,0.13310894
AIZ,1267238,20141231,0.01195352
AIZ,1267238,20151231,-0.028767085
AIZ,1267238,20161231,-0.058186329
AIZ,1267238,20171231,0.011698423
AIZ,1267238,20181231,-0.003075058
AIZ,1267238,20191231,0.006811365
AIZ,1267238,20201231,-0.035857059
AIZ,1267238,20211231,0.054564624
AJG,354190,20141231,0.072341971
AJG,354190,20151231,0.076629315
AJG,354190,20161231,0.026484031
AJG,354190,20171231,0.04977475
AJG,354190,20181231,0.021436146
AJG,354190,20191231,0.080082119
AJG,354190,20201231,0.101168704
AJG,354190,20211231,0.135036904
AKAM,1086222,20141231,0.094852463
AKAM,1086222,20151231,0.161319693
AKAM,1086222,20161231,0.131067213
AKAM,1086222,20171231,0.095791436
AKAM,1086222,20181231,0.109630596
AKAM,1086222,20191231,0.127785527
AKAM,1086222,20201231,0.064466335
AKAM,1086222,20211231,0.030314003
ALB,915913,20141231,0.115269112
ALB,915913,20151231,0.029848174
ALB,915913,20161231,0.044639476
ALB,915913,20171231,0.097835934
ALB,915913,20181231,0.151985394
ALB,915913,20191231,0.04114037
ALB,915913,20201231,0.023375497
ALB,915913,20211231,0.017110537
ALK,766421,20141231,0.285212505
ALK,766421,20151231,0.214069576
ALK,766421,20161231,0.235562877
ALK,766421,20171231,0.174056452
ALK,766421,20181231,0.250775164
ALK,766421,20191231,0.283563797
ALK,766421,20201231,0.084555445
ALK,766421,20211231,0.368740748
ALL,899051,20141231,-0.050386921
ALL,899051,20151231,0.072177659
ALL,899051,20161231,0.088601986
ALL,899051,20171231,0.059907681
ALL,899051,20181231,0.071441234
ALL,899051,20191231,0.032465448
ALL,899051,20201231,-0.020640563
ALL,899051,20211231,0.063280074
ALLE,1579241,20141231,0.200323225
ALLE,1579241,20151231,0.22990378
