,sentiment_new,ret
1,-1.3284623107691513,-0.22611135243339409
2,-1.5644147086296896,0.2865405735816764
3,-0.3224377111782542,0.04978193074035864
4,0.9161988478845933,-0.23545701001027297
5,-0.36595477568308543,-0.1735428769210876
6,-1.3674954455700208,-0.4306300373914477
7,-0.35174783289563083,0.03649210403683223
9,0.5952161250713627,-0.061109161509398824
10,0.3819087281708658,0.1671545451470524
11,0.5186668771719849,-0.3333000094914599
12,1.268573100748997,0.4906061122336274
13,0.7430592543779586,-0.18026642617443256
14,1.4769497959881905,0.1584075762714352
15,1.1908345044615747,0.4817518895069939
17,0.6020918396708281,-0.046494153839819696
18,0.8244764555693519,0.20218610110778412
19,-0.16781929872135673,0.9038094010802877
20,0.7909443125004626,-0.2515753366974396
21,1.020677055992713,0.27303340881256144
22,0.6521873384419524,0.13851563038653758
23,0.11286625590927474,0.4325543958240581
25,1.1380304461376904,-0.1731929579228647
26,0.8381912396557457,0.20589595415364093
27,0.39147262410494443,0.3663751139493183
28,1.0833401659944515,0.3097241784092306
29,1.4718407991090627,0.23216978104098263
30,0.7373727340932607,0.4445627663855607
31,0.48507356701217585,0.004147555685470872
33,-0.20854991557740704,0.22285638853500744
34,0.44955400030838427,0.2354012596968651
35,0.8088168369454325,0.7971989795043235
36,1.0836297021181809,0.21789284457853775
37,0.33706691730409566,0.4304777654940941
38,1.1271022556642343,0.4275624895935246
39,1.7347244029646538,0.07318072363587347
41,0.0857053023310407,-0.3027372123833163
42,-0.325873983145059,0.4166037870457424
43,0.06677422960097447,-0.02399658363340451
44,2.1349545130110337,0.04279699672193704
45,0.8810893918073661,0.13636902523427263
46,0.36787751811936803,0.23972033331298315
47,1.5933182443288192,0.4237095760935856
49,0.010975513867410691,-0.06398807806177553
50,-0.6226371571997745,0.5175764482574496
51,0.0055016390321611305,0.585263608846438
52,-0.1854063578207547,0.12453183898263709
53,0.08923609419864899,0.03186421859155253
54,0.37593165001333934,0.6965765197910445
55,0.9198975877331163,-0.2961843748534505
57,-0.16172780899207023,0.11312061473462687
58,-0.11970720146169624,0.20824224670520008
59,0.25171479003984837,0.07944957801747332
60,-0.07519295038156422,0.3162281333205186
61,-0.1538560917488001,0.22206192482568943
62,-0.6218978325261253,-0.11679706719331162
63,-0.03543950679306044,0.21312753560095854
65,-0.6281109509438257,0.09256092974261354
66,-0.6281109509438257,0.08082434529285609
67,-0.6281109509438257,0.047953935547907056
68,-0.6281109509438257,0.28219629337809593
69,-0.6281109509438257,0.31523269697134215
70,-0.6281109509438257,-0.20052999851220787
71,-0.6281109509438257,0.1494834961371343
73,-1.782975550160946,-0.21754291970680284
74,-1.3077079835352543,0.3407368616102071
75,-1.3270048586611034,-0.08208931246808715
76,-0.6360345989905227,0.7467624194670555
